city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Casper,Casper Area,Helping Hands Community Services – Radius Church,"4301 Casper Mountain Rd, Casper, WY 82601","Tuesdays, 11:00am–3:00pm",RRULE:FREQ=WEEKLY;BYDAY=TU,11:00,240,307-265-9121,https://radiuschurch.life/food-pantry/food-pantry,"First-time guests bring photo ID; brief registration; walk-in, no appointment stated",walk-in,Food distribution Tuesday; holiday/weather closures possible.
Casper,Casper Area,Joshua's Storehouse,"334 S Wolcott St, Casper, WY 82601","Tuesdays–Fridays, 10:00am–12:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",10:00,120,307-265-0242,https://search.wyoming211.org/search/99d745a3-a725-51ee-8e71-9a3f292e72c5,Walk-in; anyone in need may pick up once monthly; homeless individuals may pick up daily,walk-in,
Cheyenne,Cheyenne Area,Needs Inc Food Pantry,"900 Central Ave, Cheyenne, WY 82007","Mondays and Tuesdays, 8:30am–6:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU",8:30,570,307-632-4132,https://www.needsinc.org/food-pantry,"Fresh produce is first-come, first-served and no ID/income verification; TEFAP requires household documents",walk-in,Lobby/pantry open hours; closed Fri–Sun and federal holidays.
Cheyenne,Cheyenne Area,Needs Inc Food Pantry,"900 Central Ave, Cheyenne, WY 82007","Wednesdays and Thursdays, 8:30am–4:00pm","RRULE:FREQ=WEEKLY;BYDAY=WE,TH",8:30,450,307-632-4132,https://www.needsinc.org/food-pantry,"Fresh produce is first-come, first-served and no ID/income verification; TEFAP requires household documents",walk-in,Lobby/pantry open hours; closed Fri–Sun and federal holidays.
Cheyenne,Cheyenne Area,St. Joseph's Food Pantry,"206 Van Lennen Ave, Cheyenne, WY 82007","Monday–Thursday, 10:00am–12:45pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",10:00,165,307-275-0567,https://search.adrcwyoming.org/search/70bc7895-1c43-5815-81ec-f69c08538f32,Walk-in; free; Laramie County low-income/unemployed individuals and families,walk-in,Weekly groceries; service area Laramie County.
Laramie,Cheyenne Area,Laramie Interfaith Food Pantry,"712 Canby St, Laramie, WY 82072","Mondays and Wednesdays, 11:00am–4:30pm","RRULE:FREQ=WEEKLY;BYDAY=MO,WE",11:00,330,307-742-4240,https://www.laramieinterfaith.org/faqs/what-is-tefap,Weekly groceries for anyone; no documentation; walk-in,walk-in,Regular pantry hours; TEFAP has separate monthly schedule.
Laramie,Cheyenne Area,Laramie Interfaith Food Pantry,"712 Canby St, Laramie, WY 82072","Tuesdays and Thursdays, 11:00am–6:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",11:00,420,307-742-4240,https://www.laramieinterfaith.org/faqs/what-is-tefap,Weekly groceries for anyone; no documentation; walk-in,walk-in,Regular pantry hours; TEFAP has separate monthly schedule.
Gillette,Northeast Wyoming,Council of Community Services Food Pantry,"114 S 4-J Rd, Gillette, WY 82716","Monday–Friday, 10:00am–3:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",10:00,300,307-686-2730,https://www.ccsgillette.org/hunger,Income limits listed by household size; walk-in pantry,walk-in,Food pantry; source also reports public soup kitchen but no meal time.
Jackson,Northwest Wyoming,Good Samaritan Mission Food Pantry,"285 W Pearl Ave, Jackson, WY 83001","Daily, 7:00am–9:00pm","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR,SA,SU",7:00,840,307-733-3165,https://gsmjh.org/,No application or ID required; free pantry; walk-in,walk-in,Source does not publish street address; confirm before travel.
Riverton,Northwest Wyoming,Foundation for Nations Food Bank,"702 E Monroe Ave, Riverton, WY 82501","Tuesdays, 11:00am–12:00pm; Thursdays, 4:00–5:00pm","RRULE:FREQ=WEEKLY;BYDAY=TU,TH",11:00,60,307-200-9779,https://foundnations.com/church-resources/,Photo ID; walk-in; shop twice per month,walk-in,Thursday service runs 4:00–5:00pm.
