city,region,org_name,address,schedule_text,rrule,start_time,duration_min,phone,url,requirements,distribution_type,notes
Laconia,Lakes Region,InReach Ministries Food Pantry,"175 Mechanic St, Laconia, NH 03246","Every Thursday, 9:00-11:45 AM",RRULE:FREQ=WEEKLY;BYDAY=TH,9:00,165,603-524-5895,https://sites.vivery.org/inreach-ministries-food-pantry/laconia-nh/25266,Walk-in; no qualification requirements,walk-in,Prepared food box; quantities depend on availability.
Lebanon,NH North Country,LISTEN Community Services Food Pantry,"60 Hanover St, Lebanon, NH 03766","Monday, 12:00-4:00 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,12:00,240,603-448-4553,https://www.listencs.org/food-pantry,Walk-in; no referral or appointment needed,walk-in,Lebanon city says one visit monthly; LISTEN page says weekly.
Lebanon,NH North Country,LISTEN Community Services Food Pantry,"60 Hanover St, Lebanon, NH 03766","Tuesday-Friday, 10:00 AM-4:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,TH,FR",10:00,360,603-448-4553,https://www.listencs.org/food-pantry,Walk-in; no referral or appointment needed,walk-in,Lebanon city says one visit monthly; LISTEN page says weekly.
Littleton,NH North Country,Littleton Food Pantry,"theBridge Outreach, Littleton, NH 03561","Monday, 4:30-6:30 PM",RRULE:FREQ=WEEKLY;BYDAY=MO,16:30,120,603-444-5301,https://www.bridgeoutreachnh.org/littletonfoodpantry,Walk-in; ID and proof of economic need required,walk-in,Serves several North Country towns.
Littleton,NH North Country,Littleton Food Pantry,"theBridge Outreach, Littleton, NH 03561","Tuesday-Wednesday and Saturday, 10:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=TU,WE,SA",10:00,120,603-444-5301,https://www.bridgeoutreachnh.org/littletonfoodpantry,Walk-in; ID and proof of economic need required,walk-in,Serves several North Country towns.
Concord,Southern NH,Christ the King Food Pantry,"67 South State St, Concord, NH 03301","Monday-Thursday, 6:30-8:30 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH",18:30,120,603-225-1122,https://christthekingfoodpantry.org/,Walk-in; self-evident need; no appointment stated,walk-in,Closed on school snow days; weekly shopping allowed.
Concord,Southern NH,Friendly Kitchen / Hope House,"2 S Commercial St, Concord, NH 03301","Monday-Friday, 12:00-12:45 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",12:00,45,603-224-7678,https://www.concordnh.gov/1034/Food-Pantries-Soup-Kitchens,Walk-in community meal; no appointment stated,hot meal,Free lunch.
Concord,Southern NH,Friendly Kitchen / Hope House,"2 S Commercial St, Concord, NH 03301","Every day, 5:00-5:45 PM",RRULE:FREQ=DAILY,17:00,45,603-224-7678,https://www.concordnh.gov/1034/Food-Pantries-Soup-Kitchens,Walk-in community meal; no appointment stated,hot meal,Free supper.
Concord,Southern NH,St. Paul's Church Food Pantry,"21 Centre St, Concord, NH 03301","Monday-Tuesday, 10:00 AM-12:00 PM","RRULE:FREQ=WEEKLY;BYDAY=MO,TU",10:00,120,603-224-2523,https://www.stpaulsconcord.org/food-pantry,Walk-in; ID requested first visit; visits 2 weeks apart,walk-in,Thursday evening hours listed separately.
Concord,Southern NH,St. Paul's Church Food Pantry,"21 Centre St, Concord, NH 03301","Wednesday, 12:00-2:00 PM",RRULE:FREQ=WEEKLY;BYDAY=WE,12:00,120,603-224-2523,https://www.stpaulsconcord.org/food-pantry,Walk-in; ID requested first visit; visits 2 weeks apart,walk-in,Thursday evening hours listed separately.
